City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
526,Moussoro,TD,28.18,scattered clouds,13.64,16.49,Pharmacie alnadja Moussoro
528,Weinan,CN,26.11,mist,34.5,109.51,Thank Inn Chain Hotel shanxi weinan linwei district jiefang road
531,Miguel Hidalgo,MX,24.0,scattered clouds,19.42,-99.2,JW Marriott Hotel Mexico City
532,Kongoussi,BF,30.09,clear sky,13.33,-1.53,Hotel Têed Wende
533,Hobyo,SO,25.51,scattered clouds,5.35,48.53,Osmani Hotel
540,Shenzhen,CN,29.44,scattered clouds,22.55,114.07,Shun Hing Square
542,Devarkonda,IN,26.49,moderate rain,16.7,78.93,VANAM ANJANEYULU
544,Prado,BR,21.09,clear sky,-17.34,-39.22,INN CORNER RIVER - PRADO - BAHIA - HOUSING AND HOTEL
547,Lunenburg,CA,23.89,few clouds,44.38,-64.32,Lunenburg Arms Hotel
548,Tarakan,ID,26.19,overcast clouds,3.3,117.63,Hotel D' CaLia Tarakan
550,Port Blair,IN,27.33,light rain,11.67,92.75,Fortune Resort Bay Island
551,Jinan,CN,28.89,broken clouds,36.67,117.0,Sofitel Silver Plaza Hotel Jinan
553,Wangqing,CN,21.56,overcast clouds,43.32,129.76,Jianan Fashion Hotel
555,Mao,ES,25.0,clear sky,39.89,4.27,ARTIEM Capri
558,Lagoa,PT,21.29,broken clouds,39.05,-27.98,Casa Das Faias
559,Sabang,ID,28.59,overcast clouds,5.89,95.32,Hotel Citra
563,Nanchong,CN,22.31,light rain,30.8,106.08,Marine Una Century Hotel
564,Puri,IN,29.08,overcast clouds,19.8,85.85,OYO 1577 Hotel Shree Hari Grand
567,Mangrol,IN,28.23,moderate rain,21.12,70.12,Hotel The Royal Honours
568,Jaca,ES,23.33,broken clouds,42.57,-0.55,Hotel Real Jaca & Spa
569,Sturgis,US,26.0,scattered clouds,41.8,-85.42,Best Western Plus Howe Inn
571,Mathbaria,BD,27.41,light rain,22.29,89.96,বাহাদুরের চায়ের ষ্টোর
575,Algiers,DZ,25.0,clear sky,36.75,3.04,Sofitel Algiers Hamma Garden
578,Brokopondo,SR,27.23,clear sky,4.75,-55.17,Matu Island
580,Hamilton,US,21.11,moderate rain,39.18,-84.53,Six Acres Bed & Breakfast
581,Pathein,MM,26.22,broken clouds,16.78,94.73,Pathein Hotel
582,Daru,PG,24.53,overcast clouds,-9.08,143.21,New century hotel
585,Terme,TR,22.0,scattered clouds,41.21,36.97,OTEL GÜVEN TERME
586,Zeya,RU,21.71,light rain,53.75,127.27,Kapital Inn
589,Haines Junction,CA,23.97,clear sky,60.75,-137.51,Parkside Inn
591,Aguimes,ES,22.22,scattered clouds,27.91,-15.45,Hotel Villa de Aguimes
